first_name,last_name,id,hire_date,termination_date,salary
Bob,Smith,1,2009-02-03,2016-01-01,10000
Joe,Jarrod,2,2009-02-03,,20000
Nancy,Soley,3,2009-02-03,,30000
Keith,Widjaja,4,2009-04-15,2014-01-01,20000
Kelly,Smalls,5,2009-02-03,,20000
Frank,Nguyen,6,2009-06-20,2015-05-01,60000
Moe,Down,7,2009-07-20,2017-04-15,83668
Joe,Carlos,8,2009-08-13,,24133
Karen,Adam,9,2009-09-25,,73794
Smith,John,10,2009-10-09,,40658
Nataly,Joe,11,2009-11-22,,62930
Suzan,Power,12,2009-12-23,2017-05-22,32565
Bob,Marely,13,2010-01-20,2017-07-20,88355
Mike,Tayson,14,2010-02-03,2017-09-25,65915
Zuo,Yang,15,2010-02-12,2017-09-25,66808
Armin,Roberson,16,2010-03-20,2017-09-25,97364
Kale,Matteo,17,2010-04-15,2017-11-22,99235
Rahul,Thomas,18,2010-05-22,2018-04-15,72014
Kumar,Joshua,19,2010-07-20,2018-05-20,97559
Joseph,Charles,20,2010-08-13,2018-05-22,11732
Patil,Keera,21,2010-09-25,2018-08-13,33185
Dew,Ryan,22,2010-10-09,2018-11-22,67463
Francis,Rynolds,23,2010-11-22,2018-11-22,78038
David,Adrian,24,2010-12-23,,19346
Ina,Eli,25,2011-05-22,,51172
Meena,Santiago,26,2011-07-20,,34620
Mina,Robert,27,2011-08-13,,31320
Prakash,Roberto,28,2011-09-25,2019-11-22,46871
Mary,Carlos,29,2011-10-09,2019-08-13,17930
Toona,Mathias,30,2011-11-22,2019-08-13,65572
Marely,Cooper,31,2011-12-23,2019-10-09,49603
Saif,Ian,32,2012-01-20,2019-10-09,61156
Ahmed,Adam,33,2012-02-03,2019-11-22,59491
Anton,Harry,34,2012-03-14,2013-07-20,75454
Andrea,Willis,35,2012-03-20,2013-08-13,56689
Efthimus,James,36,2012-04-15,2014-01-20,17075
Karla,Olivier,37,2012-04-15,,81505
Christine,Liam,38,2012-05-22,,36336
Tooby,Nelson,39,2012-07-20,,50438
Mounir,Logan,40,2013-04-15,,49481
Marin,Robert,41,2013-05-22,2018-12-23,44682
Katherine,Roberto,42,2013-05-22,2018-12-23,49940
Kevin,Carlos,43,2013-07-20,2019-01-20,59049
Hend,Mathias,44,2013-08-13,2019-03-20,18052
Michael,Cooper,45,2013-09-10,2019-05-22,37526
Kero,Ian,46,2013-09-10,2015-09-10,25456
Emad,Adam,47,2013-09-25,2015-09-10,47730
Mostafa,Ahmed,48,2013-10-09,2016-01-20,66984
Nguyen,Trung,49,2013-11-22,2016-03-20,10681
Bauer,Miller,50,2013-12-23,,79504
Muller,Schau,51,2014-01-20,,50413
Macron,Jared,52,2014-01-22,,72369
Biden,Joe,53,2014-02-03,2014-12-23,21682
Angela,Maton,54,2014-03-20,2015-01-20,78888
Lucas,Merkel,55,2014-05-20,2015-02-03,54515
William,Charles,56,2014-08-13,2015-03-14,28929
Kate,Medlton,57,2014-09-25,2016-01-20,13656
Harry,Frank,58,2014-10-09,2016-03-20,83225
Willis,Franklin,59,2014-11-22,2016-04-15,65429
James,Power,60,2014-12-23,2016-07-20,94279
Olivier,Twist,61,2015-01-20,2016-01-20,86639
Liam,Mark,62,2015-02-03,,33719
Nelson,Liam,63,2015-03-14,,81449
Logan,Kent,64,2015-04-10,,43329
Levi,Carlos,65,2015-04-10,,85538
Leo,Sky,66,2015-07-20,2018-05-22,16453
Jackson,Robertson,67,2015-09-10,2018-08-13,29087
Robertson,James,68,2015-09-10,2018-11-22,47608
Matteo,Lebron,69,2016-01-20,2018-11-22,34516
Thomas,Lucas,70,2016-03-20,2018-12-23,13355
Joshua,William,71,2016-04-15,2018-12-23,53431
Charles,Eli,72,2016-07-20,2019-01-20,64311
Keera,Harry,73,2016-07-20,,53579
Ryan,Willis,74,2016-10-09,2017-07-20,51723
Rynolds,James,75,2016-12-23,2017-09-25,38049
Adrian,Olivier,76,2017-01-22,,77673
Eli,Liam,77,2017-02-03,,69482
Santiago,Nelson,78,2017-04-15,2019-05-22,63628
Robert,Logan,79,2017-05-22,2019-08-13,54247
Roberto,Levi,80,2017-07-20,2019-08-13,70955
Carlos,Leo,81,2017-09-25,2019-10-09,29742
Mathias,Francis,82,2017-09-25,2019-10-09,49826
Cooper,Duet,83,2017-09-25,2019-05-22,80015
Ian,Rolls,84,2017-11-22,2019-08-13,60708
Adam,Matteo,85,2018-04-15,2019-08-13,85493
Eve,John,86,2018-05-20,,88919
Kai,Luca,87,2018-05-22,,24875
Wang,Wu,88,2018-08-13,2019-05-22,46309
Lee,Chen,89,2018-11-22,2019-08-13,26181
Zhao,Liu,90,2018-11-22,2019-08-13,31389
Ishaan,Kumar,91,2018-12-23,2019-10-09,38024
Sana,Pital,92,2018-12-23,,16781
Jaya,Ananya,93,2019-01-20,,16729
Mohamed,Saeed,94,2019-03-20,,99912
Ismail,Bakr,95,2019-05-22,2019-10-09,43651
Markos,Tomas,96,2019-08-13,2019-11-22,43825
Anton,Darios,97,2019-11-22,,55637
Sameer,Mostafa,98,2019-10-09,,51824
Amira,Kamal,99,2019-10-09,,39133
Sawsan,Ahmed,100,2019-11-22,,64677
